{'ghost_state_base': 1.4760913492629593, 'ghost_state_zero': -8.153228104624045, 'ghost_value': -6.274795772446582, 'food_num_value': -3.9533485473632046, 'food_dis_value': -9.997712503653101, 'capsule_dis_value': 4.4064898688431615, 'capsule_dis_num': -1.6595599059485195, 'final': -213.2}
{'ghost_state_base': 6.855342808963627, 'ghost_state_zero': -5.910955005369651, 'ghost_value': 7.562348727818907, 'food_num_value': -1.6161097119341044, 'food_dis_value': 0.7763346800671389, 'capsule_dis_value': -2.0646505153866013, 'capsule_dis_num': -3.0887854591390447, 'final': 1179.0}
{'ghost_state_base': 1.4124655165663853, 'ghost_state_zero': -6.037970218302425, 'ghost_value': 6.014891373510732, 'food_num_value': 1.1737965689150336, 'food_dis_value': -1.6539039526574602, 'capsule_dis_value': 3.409350203568044, 'capsule_dis_num': -9.452248136041476, 'final': 1445.0}
{'ghost_state_base': 8.947120568403435, 'ghost_state_zero': -8.299115772604441, 'ghost_value': -9.218904335342353, 'food_num_value': 7.527783045920767, 'food_dis_value': 3.8464523133862816, 'capsule_dis_value': -3.7315164368151432, 'capsule_dis_num': 9.36523151438795, 'final': 427.2}
{'ghost_state_base': 9.579316406203514, 'ghost_state_zero': 0.6633056994603415, 'ghost_value': 3.837542279009467, 'food_num_value': -1.5778474998989562, 'food_dis_value': -8.033063323338999, 'capsule_dis_value': 7.562850068588261, 'capsule_dis_num': -6.6033916087086215, 'final': 1241.8}
{'ghost_state_base': 1.4857560334668738, 'ghost_state_zero': -6.521783217427624, 'ghost_value': 6.545237050926779, 'food_num_value': 0.1910984617223228, 'food_dis_value': -0.022564074066028894, 'capsule_dis_value': 7.086909560098672, 'capsule_dis_num': -8.435526149583, 'final': 1572.8}
{'ghost_state_base': 5.568916658013796, 'ghost_state_zero': 4.053237390260914, 'ghost_value': 10.0, 'food_num_value': 5.072824028646528, 'food_dis_value': 6.308088016051454, 'capsule_dis_value': 10.0, 'capsule_dis_num': -10.0, 'final': 1996.2}
{'ghost_state_base': 0.01, 'ghost_state_zero': 10.0, 'ghost_value': 10.0, 'food_num_value': -10.0, 'food_dis_value': 10.0, 'capsule_dis_value': 9.999999999999998, 'capsule_dis_num': -10.0, 'final': 1220.2}
{'ghost_state_base': 0.01, 'ghost_state_zero': 10.0, 'ghost_value': 10.0, 'food_num_value': 10.0, 'food_dis_value': -5.818248529310851, 'capsule_dis_value': 10.0, 'capsule_dis_num': -10.0, 'final': 1301.2}
{'ghost_state_base': 10.0, 'ghost_state_zero': -9.349185541698388, 'ghost_value': 10.0, 'food_num_value': 10.0, 'food_dis_value': 10.0, 'capsule_dis_value': 10.0, 'capsule_dis_num': -10.0, 'final': 1211.4}
{'ghost_state_base': 10.0, 'ghost_state_zero': 10.0, 'ghost_value': 10.0, 'food_num_value': 7.9558928675428495, 'food_dis_value': 10.0, 'capsule_dis_value': -0.7789566945498745, 'capsule_dis_num': -10.0, 'final': -97.0}
{'ghost_state_base': 0.01, 'ghost_state_zero': 2.234401520813675, 'ghost_value': 10.0, 'food_num_value': 1.548003933814006, 'food_dis_value': 2.5478769160404067, 'capsule_dis_value': 10.0, 'capsule_dis_num': -10.0, 'final': 290.0}
{'ghost_state_base': 3.4779193157216546, 'ghost_state_zero': -6.737834099720611, 'ghost_value': 6.6919107059510266, 'food_num_value': -0.487316249845217, 'food_dis_value': 0.12335445776255115, 'capsule_dis_value': 4.215396720977681, 'capsule_dis_num': -6.577677193525462, 'final': 1816.2}
{'ghost_state_base': 8.381305531404896, 'ghost_state_zero': 2.270298066464833, 'ghost_value': 9.797608207367137, 'food_num_value': 6.790460934052164, 'food_dis_value': 7.727744181550753, 'capsule_dis_value': 10.0, 'capsule_dis_num': -9.834576968784402, 'final': 1266.8}
{'ghost_state_base': 5.695807151872767, 'ghost_state_zero': 7.639614078166898, 'ghost_value': 10.0, 'food_num_value': 5.337793552033967, 'food_dis_value': 6.847976908698974, 'capsule_dis_value': 10.0, 'capsule_dis_num': -10.0, 'final': 205.4}
{'ghost_state_base': 8.588715943554766, 'ghost_state_zero': -9.864919768057568, 'ghost_value': 4.142215715033375, 'food_num_value': 5.025910195003965, 'food_dis_value': 4.3468341535867125, 'capsule_dis_value': 5.5494479848817235, 'capsule_dis_num': 6.520602878395206, 'final': 2059.0}
{'ghost_state_base': 5.984203132113144, 'ghost_state_zero': 2.7683178470670846, 'ghost_value': -3.0930902971576346, 'food_num_value': 0.9844520097865974, 'food_dis_value': 2.273756486223631, 'capsule_dis_value': 1.8282450135505162, 'capsule_dis_num': 6.556497991904827, 'final': -364.6}
{'ghost_state_base': 1.275403968586188, 'ghost_state_zero': 4.431278723808296, 'ghost_value': -8.426048724150803, 'food_num_value': 3.5367731841535477, 'food_dis_value': -3.985746955017852, 'capsule_dis_value': 9.861957724310486, 'capsule_dis_num': -7.259860957141864, 'final': 154.8}
{'ghost_state_base': 3.377064434524281, 'ghost_state_zero': 7.420374497519312, 'ghost_value': 2.146240157091226, 'food_num_value': 0.6392006317074213, 'food_dis_value': 7.010239765596843, 'capsule_dis_value': -4.833558649484724, 'capsule_dis_num': 1.9991301412504807, 'final': 697.0}
{'ghost_state_base': 8.397483428872622, 'ghost_state_zero': -9.18190689776471, 'ghost_value': 4.178702512346374, 'food_num_value': 4.733211137778486, 'food_dis_value': 3.376726147291144, 'capsule_dis_value': 6.990495951051301, 'capsule_dis_num': 5.814335788444494, 'final': 1962.4}
{'ghost_state_base': 5.236694690029195, 'ghost_state_zero': 1.4440083996062645, 'ghost_value': 10.0, 'food_num_value': 4.51541782945758, 'food_dis_value': 6.034463093437078, 'capsule_dis_value': 9.9484628905892, 'capsule_dis_num': -10.0, 'final': 1764.0}
{'ghost_state_base': 7.757527317430398, 'ghost_state_zero': -9.989560877535002, 'ghost_value': 5.196884633347541, 'food_num_value': 4.026753462788082, 'food_dis_value': 3.944825006846606, 'capsule_dis_value': 4.560481542633095, 'capsule_dis_num': 3.876864614538974, 'final': 1616.6}
{'ghost_state_base': 7.230957271341698, 'ghost_state_zero': -7.05041057333638, 'ghost_value': 3.6284816660910337, 'food_num_value': 3.8939919439287003, 'food_dis_value': 4.472738759696153, 'capsule_dis_value': 8.54535613481848, 'capsule_dis_num': 8.221592770971686, 'final': 1825.4}
{'ghost_state_base': 7.483635055184199, 'ghost_state_zero': -10.0, 'ghost_value': 6.330211230586577, 'food_num_value': 4.660271581466249, 'food_dis_value': 6.1482595950341485, 'capsule_dis_value': 7.6541039596653455, 'capsule_dis_num': 7.464598464931595, 'final': 1982.4}
{'ghost_state_base': 8.594255705052372, 'ghost_state_zero': -10.0, 'ghost_value': 5.830316465583485, 'food_num_value': 2.702583830502061, 'food_dis_value': 3.1455400958450164, 'capsule_dis_value': 6.165074443706024, 'capsule_dis_num': 9.33466269890867, 'final': 2131.6}
{'ghost_state_base': 6.241873145753262, 'ghost_state_zero': -10.0, 'ghost_value': 5.638292199008936, 'food_num_value': 6.453600720744696, 'food_dis_value': 2.5521598635928804, 'capsule_dis_value': 6.131238041183218, 'capsule_dis_num': 9.515401178429164, 'final': 2052.0}
{'ghost_state_base': 10.0, 'ghost_state_zero': -7.488427082725178, 'ghost_value': 7.2842115071595614, 'food_num_value': 6.176786637301495, 'food_dis_value': 3.7462998053192553, 'capsule_dis_value': 5.734214000536457, 'capsule_dis_num': 9.070661160964614, 'final': 2125.2}
{'ghost_state_base': 6.711246211061519, 'ghost_state_zero': -7.710343282876773, 'ghost_value': 6.636330368393846, 'food_num_value': 4.244128129236154, 'food_dis_value': 5.634244131032302, 'capsule_dis_value': 3.0313571657143563, 'capsule_dis_num': 10.0, 'final': 2115.2}
{'ghost_state_base': 5.9455976652681075, 'ghost_state_zero': -6.955964391906739, 'ghost_value': 10.0, 'food_num_value': 3.4711948875633634, 'food_dis_value': 2.5184439649726533, 'capsule_dis_value': 5.9922446603541015, 'capsule_dis_num': 9.265308735706016, 'final': 1597.4}
